"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:18:05"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"538","142.62E+03","1.596176E+00","64.344"
"539","144.56E+03","1.641593E+00","64.367"
"540","146.53E+03","1.614284E+00","63.629"
"541","148.53E+03","1.671177E+00","66.193"
"542","150.55E+03","1.648017E+00","65.547"
"543","152.60E+03","1.687388E+00","66.636"
"544","154.68E+03","1.680602E+00","63.924"
"545","156.78E+03","1.740942E+00","66.398"
"546","158.92E+03","1.676252E+00","66.566"
"547","161.08E+03","1.776352E+00","65.007"
"548","163.28E+03","1.789821E+00","65.941"
"549","165.50E+03","1.826936E+00","66.387"
"550","167.75E+03","1.842226E+00","67.435"
"551","170.04E+03","1.866421E+00","67.011"
"552","172.35E+03","1.893009E+00","67.386"
"553","174.70E+03","1.895247E+00","67.423"
"554","177.08E+03","1.930923E+00","67.780"
"555","179.49E+03","1.946830E+00","68.038"
"556","181.93E+03","1.970488E+00","67.903"
"557","184.41E+03","1.984068E+00","68.303"
"558","186.92E+03","2.012475E+00","68.272"
"559","189.47E+03","2.051642E+00","69.112"
"560","192.05E+03","2.080734E+00","68.812"
"561","194.66E+03","2.100798E+00","69.053"
"562","197.31E+03","2.136249E+00","69.286"
"563","200.00E+03","2.148883E+00","69.380"
"564","202.72E+03","2.181751E+00","69.745"
"565","205.48E+03","2.201981E+00","69.601"
"566","208.28E+03","2.227590E+00","70.198"
"567","211.12E+03","2.255260E+00","70.190"
"568","213.99E+03","2.270973E+00","70.323"
"569","216.90E+03","2.319358E+00","70.193"
"570","219.86E+03","2.358088E+00","70.684"
"571","222.85E+03","2.370352E+00","70.960"
"572","225.89E+03","2.393815E+00","71.170"
"573","228.96E+03","2.433453E+00","70.969"
"574","232.08E+03","2.449174E+00","71.009"
"575","235.24E+03","2.488240E+00","71.454"
"576","238.44E+03","2.508872E+00","72.244"
"577","241.69E+03","2.541086E+00","71.833"
"578","244.98E+03","2.579132E+00","72.478"
"579","248.32E+03","2.612463E+00","72.150"
"580","251.70E+03","2.640437E+00","72.277"
"581","255.13E+03","2.690518E+00","72.202"
"582","258.60E+03","2.711211E+00","72.441"
"583","262.12E+03","2.729203E+00","72.293"
"584","265.69E+03","2.777572E+00","73.075"
