"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:24:00"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"413","26.301E+03","63.59702E+03","-89.269"
"414","26.659E+03","62.74901E+03","-89.274"
"415","27.022E+03","61.91219E+03","-89.275"
"416","27.390E+03","61.08498E+03","-89.279"
"417","27.763E+03","60.27395E+03","-89.280"
"418","28.141E+03","59.46718E+03","-89.288"
"419","28.524E+03","58.67225E+03","-89.286"
"420","28.912E+03","57.88836E+03","-89.294"
"421","29.306E+03","57.11640E+03","-89.294"
"422","29.705E+03","56.35913E+03","-89.299"
"423","30.110E+03","55.61590E+03","-89.300"
"424","30.520E+03","54.86148E+03","-89.306"
"425","30.935E+03","54.13141E+03","-89.306"
"426","31.357E+03","53.39878E+03","-89.313"
"427","31.783E+03","52.69083E+03","-89.304"
"428","32.216E+03","51.99205E+03","-89.321"
"429","32.655E+03","51.30220E+03","-89.325"
"430","33.100E+03","50.60465E+03","-89.328"
"431","33.550E+03","49.93850E+03","-89.324"
"432","34.007E+03","49.26970E+03","-89.327"
"433","34.470E+03","48.61755E+03","-89.322"
"434","34.940E+03","47.96065E+03","-89.345"
"435","35.415E+03","47.32188E+03","-89.319"
"436","35.898E+03","46.68245E+03","-89.361"
"437","36.386E+03","46.06426E+03","-89.356"
"438","36.882E+03","45.46160E+03","-89.338"
"439","37.384E+03","44.84991E+03","-89.352"
"440","37.893E+03","44.23701E+03","-89.342"
"441","38.409E+03","43.64809E+03","-89.353"
"442","38.932E+03","43.07687E+03","-89.346"
"443","39.462E+03","42.50387E+03","-89.362"
"444","40.000E+03","41.93436E+03","-89.370"
"445","40.544E+03","41.37922E+03","-89.368"
"446","41.096E+03","40.81800E+03","-89.369"
"447","41.656E+03","40.27622E+03","-89.371"
"448","42.223E+03","39.73996E+03","-89.373"
"449","42.798E+03","39.20784E+03","-89.386"
"450","43.381E+03","38.67999E+03","-89.384"
"451","43.971E+03","38.16511E+03","-89.380"
"452","44.570E+03","37.66229E+03","-89.383"
"453","45.177E+03","37.15336E+03","-89.386"
"454","45.792E+03","36.65497E+03","-89.382"
"455","46.416E+03","36.17307E+03","-89.388"
"456","47.048E+03","35.69110E+03","-89.395"
